round,start_day,village,node_from,population,node_to,n,coverage,coverage2,coverage3
20-Sep,244,Obom,1,1400,3,655,0.467857143,0.467857143,0.467857
20-Sep,244,Kofi_Kwei,2,2255,4,851,0.377383592,0.377383592,0.369384
20-Sep,244,Obom,3,1475,1,696,0.471864407,0.471864407,0.471864
20-Sep,244,Kofi_Kwei,4,1818,2,761,0.418591859,0.418591859,0.428592
21-Jan,334,Obom,1,1441,3,566,0.39278279,0.404285714,0.759732
21-Jan,334,Kofi_Kwei,2,2165,4,736,0.339953811,0.326385809,0.524217
21-Jan,334,Obom,3,1434,1,548,0.382147838,0.371525424,0.703466
21-Jan,334,Kofi_Kwei,4,1908,2,826,0.432914046,0.454345435,0.781457
21-May,424,Obom,1,1423,3,516,0.362614195,0.368571429,0.589714
21-May,424,Kofi_Kwei,2,2255,4,752,0.333481153,0.333481153,0.100000
21-May,424,Obom,3,1452,1,602,0.414600551,0.408135593,0.679458
21-May,424,Kofi_Kwei,4,1818,2,880,0.484048405,0.484048405,0.813309